Key,count,percentage
应急管理,9930,50.79
民众反应,6844,35.0
媒体传播,3997,20.44
社会民生,3457,17.68
政府工作,1442,7.38
经济影响,346,1.77
交通运输,151,0.77
公共事业,105,0.54
自然灾害,96,0.49
地理区域,1,0.01
