time,publisher,value,count
2025-11-26,个人用户,2.0,2505
2025-11-27,个人用户,2.0,7598
2025-11-28,个人用户,2.0,2080
2025-11-29,个人用户,2.0,2271
2025-11-30,个人用户,2.0,1246
2025-12-01,个人用户,2.0,1101
2025-12-02,个人用户,3.0,654
2025-12-03,个人用户,2.0,298
2025-12-04,个人用户,2.0,293
2025-12-05,个人用户,4.0,176
2025-12-06,个人用户,4.0,176
2025-12-07,个人用户,4.0,84
2025-12-08,个人用户,3.0,70
2025-12-09,个人用户,2.0,64
