time,avg_polarity,direction,delta
2025-12-08 07:00,2.0,up_to_down,-0.333
2025-12-08 08:00,4.0,down_to_up,0.333
2025-12-08 09:00,3.5,up_to_down,-0.833
2025-12-08 10:00,2.67,down_to_up,0.723
2025-12-08 11:00,3.17,up_to_down,-0.5
2025-12-08 12:00,3.67,down_to_up,0.333
2025-12-08 17:00,4.0,up_to_down,-0.097
2025-12-08 18:00,3.0,down_to_up,-0.333
2025-12-08 21:00,3.2,down_to_up,0.733
2025-12-09 04:00,3.0,up_to_down,-0.633
2025-12-09 10:00,3.0,down_to_up,0.467
2025-12-09 12:00,2.0,up_to_down,-0.617
2025-12-09 14:00,4.0,down_to_up,0.533
2025-12-09 16:00,2.0,up_to_down,-0.25
2025-12-09 17:00,2.56,down_to_up,-0.48
2025-12-09 19:00,3.0,down_to_up,0.89
2025-12-09 20:00,2.33,up_to_down,-0.41
2025-12-09 21:00,2.5,down_to_up,0.133
2025-12-09 22:00,2.57,up_to_down,-0.2
2025-12-10 00:00,3.67,down_to_up,0.59
2025-12-10 04:00,2.0,up_to_down,-0.69
2025-12-10 08:00,2.0,down_to_up,0.333
2025-12-10 09:00,2.0,down_to_up,-0.167
2025-12-10 10:00,3.25,down_to_up,0.25
2025-12-10 13:00,2.4,up_to_down,-0.34
2025-12-10 15:00,2.5,down_to_up,0.36
2025-12-10 17:00,2.4,up_to_down,-0.167
2025-12-10 19:00,4.0,down_to_up,0.567
2025-12-10 22:00,3.2,up_to_down,-0.823
2025-12-11 09:00,2.8,down_to_up,0.533
2025-12-11 13:00,3.0,up_to_down,-0.733
2025-12-11 14:00,4.0,down_to_up,0.667
2025-12-11 15:00,2.0,up_to_down,-1.0
2025-12-11 16:00,3.0,down_to_up,0.667
2025-12-11 17:00,3.25,down_to_up,-0.25
2025-12-11 18:00,2.33,down_to_up,0.36
2025-12-11 19:00,3.0,up_to_down,-0.11
2025-12-11 20:00,2.0,down_to_up,-0.417
2025-12-11 23:00,2.38,down_to_up,0.427
2025-12-12 01:00,2.0,up_to_down,-0.403
2025-12-12 06:00,4.0,down_to_up,0.35
2025-12-12 10:00,3.25,up_to_down,-0.333
2025-12-12 11:00,3.5,down_to_up,0.64
2025-12-12 12:00,1.75,up_to_down,-0.557
2025-12-12 13:00,4.5,down_to_up,0.583
2025-12-12 14:00,1.8,up_to_down,-0.983
2025-12-12 15:00,2.89,down_to_up,0.947
2025-12-12 16:00,2.3,up_to_down,-1.113
2025-12-12 17:00,2.71,down_to_up,1.037
2025-12-12 21:00,3.0,up_to_down,-0.347
2025-12-12 22:00,3.0,down_to_up,0.36
2025-12-13 09:00,4.0,up_to_down,-0.223
2025-12-13 11:00,3.5,down_to_up,-0.167
2025-12-13 17:00,3.0,down_to_up,0.443
2025-12-13 18:00,2.0,up_to_down,-0.667
2025-12-13 21:00,3.0,down_to_up,0.167
2025-12-13 22:00,3.33,down_to_up,0.443
2025-12-14 02:00,2.0,up_to_down,-0.61
2025-12-14 06:00,3.0,down_to_up,0.167
2025-12-14 08:00,3.5,down_to_up,0.057
2025-12-14 10:00,2.5,up_to_down,-1.167
2025-12-14 13:00,3.0,down_to_up,0.5
2025-12-14 15:00,2.92,up_to_down,-0.693
2025-12-14 17:00,3.0,down_to_up,0.143
2025-12-14 18:00,3.6,down_to_up,0.227
2025-12-14 21:00,2.67,up_to_down,-0.477
2025-12-15 08:00,4.0,down_to_up,1.167
2025-12-15 11:00,2.0,up_to_down,-1.0
2025-12-15 12:00,4.0,down_to_up,1.167
2025-12-15 16:00,3.5,up_to_down,-0.833
2025-12-15 19:00,4.0,down_to_up,0.667
2025-12-15 20:00,4.0,down_to_up,0.167
2025-12-15 22:00,2.0,up_to_down,-1.0
2025-12-16 01:00,4.0,down_to_up,0.667
2025-12-16 08:00,3.0,up_to_down,-0.667
2025-12-16 09:00,3.75,down_to_up,-0.083
2025-12-16 10:00,4.0,down_to_up,0.083
2025-12-16 11:00,4.0,down_to_up,0.333
2025-12-16 14:00,3.8,up_to_down,-0.177
2025-12-16 17:00,4.2,down_to_up,0.377
2025-12-16 18:00,3.0,up_to_down,-0.133
2025-12-16 20:00,4.0,down_to_up,0.133
2025-12-16 21:00,3.5,up_to_down,-0.367
2025-12-16 22:00,4.0,down_to_up,0.567
2025-12-17 01:00,1.0,up_to_down,-1.333
2025-12-17 06:00,4.0,down_to_up,0.167
2025-12-17 07:00,4.0,down_to_up,1.0
2025-12-17 09:00,3.0,up_to_down,-0.667
2025-12-17 12:00,4.0,down_to_up,0.75
2025-12-17 14:00,2.0,up_to_down,-0.543
2025-12-17 16:00,4.0,down_to_up,0.223
2025-12-17 17:00,2.5,down_to_up,0.167
2025-12-17 19:00,2.33,up_to_down,-0.613
2025-12-18 00:00,4.0,down_to_up,0.947
2025-12-18 07:00,2.0,up_to_down,-1.223
2025-12-18 10:00,2.78,down_to_up,0.42
2025-12-18 11:00,2.75,up_to_down,-0.307
2025-12-18 15:00,4.0,down_to_up,0.36
2025-12-18 20:00,2.0,up_to_down,-1.11
2025-12-18 21:00,3.0,down_to_up,0.667
2025-12-18 22:00,2.2,down_to_up,-0.6
2025-12-19 00:00,4.0,down_to_up,1.267
2025-12-19 01:00,2.0,up_to_down,-1.0
2025-12-19 07:00,3.0,down_to_up,0.667
2025-12-19 10:00,2.0,up_to_down,-1.167
2025-12-19 11:00,3.25,down_to_up,0.64
2025-12-19 12:00,2.5,up_to_down,-0.64
